ID,Sort,Ward,Precinct,Precinct Code,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,Shape_Area,% Geography,% Geography CT,Raw_Emanuel,Raw_Wilson,Raw_Fioretti,Raw_Garcia,Raw_Walls,Raw_Vote_Total,Pror_Emanuel,Pror_Wilson,Pror_Fioretti,Pror_Garcia,Pror_Walls,Pror_Vote_Total,Raw_White,Raw_AA,Raw_Hispanic,Raw_Asian,Raw_Native_Am,Raw_Hawaiian,Raw_Other,Raw_Two_Or_More,Raw_Pop_Total,Pror_White,Pror_AA,Pror_Hispanic,Pror_Aisan,Pror_Native_Am,Pror_Hawaiian,Pror_Other,Pror_Two_Or_More,Pror_Pop_Total,Majority Race,Raw_Median_HH_Income,Wtd_Median_HH_Income,Pror_Median_HH_Income,Range_Income,Raw_Pct_Bachelors,Wtd_Pct_Bachelors,Pror_Pct_Bachelors,Range_Bachelors
1023,1023,14,6,14006,17,31,630300,17031630300,6303,Census Tract 6303,0.000031,100.00%,28.97%,34,1,5,58,1,99,34,1,5,58,1,99,230,75,5182,22,0,5,4,3,5521,67,22,1501,6,0,1,1,1,1600,Hisp,47841,76545600,47841,"$40,000 - $60,000",4,6400,4,0% - 20%
1024,1024,14,7,14007,17,31,570300,17031570300,5703,Census Tract 5703,0.000028,100.00%,26.42%,62,4,14,136,0,216,62,4,14,136,0,216,1182,36,4835,27,6,0,8,22,6116,312,10,1277,7,2,0,2,6,1616,Hisp,54152,87509632,54152,"$40,000 - $60,000",8,12928,8,0% - 20%
1025,1025,14,8,14008,17,31,570500,17031570500,5705,Census Tract 5705,0.000004,12.90%,8.70%,69,6,11,119,1,206,9,1,1,15,0,27,659,35,1747,13,4,0,1,3,2462,57,3,152,1,0,0,0,0,214,Hisp,48796,10442344,53505,"$40,000 - $60,000",8,1712,8,0% - 20%
1026,1026,14,8,14008,17,31,570300,17031570300,5703,Census Tract 5703,0.000027,87.10%,25.47%,69,6,11,119,1,206,60,5,10,104,1,179,1182,36,4835,27,6,0,8,22,6116,301,9,1232,7,2,0,2,6,1558,Hisp,54152,84368816,53505,"$40,000 - $60,000",8,12464,8,0% - 20%
1027,1027,14,9,14009,17,31,560800,17031560800,5608,Census Tract 5608,0.000029,100.00%,20.14%,131,7,39,111,4,292,131,7,39,111,4,292,3426,8,1898,37,6,0,2,34,5411,690,2,382,7,1,0,0,7,1090,White,67938,74052420,67938,"$60,000 - $80,000",21,22890,21,20% - 40%
1028,1028,14,10,14010,17,31,580400,17031580400,5804,Census Tract 5804,0.000028,43.08%,19.58%,49,1,9,90,3,152,21,0,4,39,1,65,473,41,3926,335,2,0,4,14,4795,93,8,769,66,0,0,1,3,939,Hisp,44522,41806158,45842,"$40,000 - $60,000",12,11268,9,0% - 20%
1029,1029,14,10,14010,17,31,842800,17031842800,8428,Census Tract 8428,0.000037,56.92%,22.42%,49,1,9,90,3,152,28,1,5,51,2,87,581,56,6699,125,11,0,2,24,7498,130,13,1502,28,2,0,0,5,1681,Hisp,46579,78299299,45842,"$40,000 - $60,000",8,13448,9,0% - 20%
1030,1030,14,11,14011,17,31,630300,17031630300,6303,Census Tract 6303,0.00004,100.00%,37.38%,55,1,2,64,1,123,55,1,2,64,1,123,230,75,5182,22,0,5,4,3,5521,86,28,1937,8,0,2,1,1,2064,Hisp,47841,98743824,47841,"$40,000 - $60,000",4,8256,4,0% - 20%
1031,1031,14,12,14012,17,31,570300,17031570300,5703,Census Tract 5703,0.000024,40.00%,22.64%,98,6,18,88,1,211,39,2,7,35,0,84,1182,36,4835,27,6,0,8,22,6116,268,8,1095,6,1,0,2,5,1385,Hisp,54152,75000520,65099,"$60,000 - $80,000",8,11080,13,0% - 20%
1032,1032,14,12,14012,17,31,560400,17031560400,5604,Census Tract 5604,0.000036,60.00%,100.00%,98,6,18,88,1,211,59,4,11,53,1,127,405,12,1053,34,4,1,2,5,1516,405,12,1053,34,4,1,2,5,1516,Hisp,75100,113851600,65099,"$60,000 - $80,000",18,27288,13,0% - 20%
1033,1033,14,13,14013,17,31,620100,17031620100,6201,Census Tract 6201,0.000019,32.20%,20.88%,70,0,11,85,1,167,23,0,4,27,0,54,535,89,3568,89,2,0,4,2,4289,112,19,745,19,0,0,1,0,896,Hisp,60801,54477696,56704,"$40,000 - $60,000",10,8960,16,0% - 20%
1034,1034,14,13,14013,17,31,570400,17031570400,5704,Census Tract 5704,0.00004,67.80%,80.00%,70,0,11,85,1,167,47,0,7,58,1,113,318,36,1225,26,5,0,1,4,1615,254,29,980,21,4,0,1,3,1292,Hisp,53862,69589704,56704,"$40,000 - $60,000",21,27132,16,0% - 20%
1035,1035,14,14,14014,17,31,630500,17031630500,6305,Census Tract 6305,0.000027,100.00%,38.57%,62,3,10,93,1,169,62,3,10,93,1,169,296,144,5896,12,6,0,4,6,6364,114,56,2274,5,2,0,2,2,2455,Hisp,47484,116573220,47484,"$40,000 - $60,000",3,7365,3,0% - 20%
1036,1036,14,15,14015,17,31,630300,17031630300,6303,Census Tract 6303,0.000036,100.00%,33.64%,74,2,8,107,0,191,74,2,8,107,0,191,230,75,5182,22,0,5,4,3,5521,77,25,1743,7,0,2,1,1,1858,Hisp,47841,88888578,47841,"$40,000 - $60,000",4,7432,4,0% - 20%
1037,1037,14,16,14016,17,31,580400,17031580400,5804,Census Tract 5804,0.000093,100.00%,65.03%,64,5,2,95,0,166,64,5,2,95,0,166,473,41,3926,335,2,0,4,14,4795,308,27,2553,218,1,0,3,9,3118,Hisp,44522,138819596,44522,"$40,000 - $60,000",12,37416,12,0% - 20%
1038,1038,14,17,14017,17,31,630500,17031630500,6305,Census Tract 6305,0.000009,37.50%,12.86%,95,0,4,113,0,212,36,0,2,42,0,80,296,144,5896,12,6,0,4,6,6364,38,19,758,2,1,0,1,1,818,Hisp,47484,38841912,50346,"$40,000 - $60,000",3,2454,5,0% - 20%
1039,1039,14,17,14017,17,31,630200,17031630200,6302,Census Tract 6302,0.000015,62.50%,21.74%,95,0,4,113,0,212,59,0,2,71,0,132,152,28,1715,28,0,0,1,7,1931,33,6,373,6,0,0,0,2,420,Hisp,55921,23486820,50346,"$40,000 - $60,000",9,3780,5,0% - 20%
1040,1040,14,18,14018,17,31,835200,17031835200,8352,Census Tract 8352,0.000017,100.00%,15.74%,33,2,7,43,1,86,33,2,7,43,1,86,891,58,1073,29,1,0,1,7,2060,140,9,169,5,0,0,0,1,324,Hisp,50598,16393752,50598,"$40,000 - $60,000",12,3888,12,0% - 20%
1041,1041,14,19,14019,17,31,630500,17031630500,6305,Census Tract 6305,0.000004,18.18%,5.71%,69,5,6,100,1,181,13,1,1,18,0,33,296,144,5896,12,6,0,4,6,6364,17,8,337,1,0,0,0,0,364,Hisp,47484,17284176,48419,"$40,000 - $60,000",3,1092,5,0% - 20%
1042,1042,14,19,14019,17,31,630400,17031630400,6304,Census Tract 6304,0.000018,81.82%,25.00%,69,5,6,100,1,181,56,4,5,82,1,148,389,40,6635,7,2,0,6,4,7083,97,10,1659,2,0,0,2,1,1771,Hisp,48611,86090081,48419,"$40,000 - $60,000",6,10626,5,0% - 20%
1043,1043,14,20,14020,17,31,580400,17031580400,5804,Census Tract 5804,0.000022,100.00%,15.38%,39,3,11,80,0,133,39,3,11,80,0,133,473,41,3926,335,2,0,4,14,4795,73,6,604,52,0,0,1,2,738,Hisp,44522,32857236,44522,"$40,000 - $60,000",12,8856,12,0% - 20%
1044,1044,14,21,14021,17,31,630500,17031630500,6305,Census Tract 6305,0.000004,18.18%,5.71%,49,5,6,142,1,203,9,1,1,26,0,37,296,144,5896,12,6,0,4,6,6364,17,8,337,1,0,0,0,0,364,Hisp,47484,17284176,48419,"$40,000 - $60,000",3,1092,5,0% - 20%
1045,1045,14,21,14021,17,31,630400,17031630400,6304,Census Tract 6304,0.000018,81.82%,25.00%,49,5,6,142,1,203,40,4,5,116,1,166,389,40,6635,7,2,0,6,4,7083,97,10,1659,2,0,0,2,1,1771,Hisp,48611,86090081,48419,"$40,000 - $60,000",6,10626,5,0% - 20%
1046,1046,14,22,14022,17,31,560700,17031560700,5607,Census Tract 5607,0.000012,34.29%,16.67%,77,6,36,99,5,223,26,2,12,34,2,76,1653,28,1753,33,1,0,0,16,3484,276,5,292,6,0,0,0,3,581,Hisp,61840,35929040,57002,"$40,000 - $60,000",14,8134,13,0% - 20%
1047,1047,14,22,14022,17,31,835200,17031835200,8352,Census Tract 8352,0.000023,65.71%,21.30%,77,6,36,99,5,223,51,4,24,65,3,147,891,58,1073,29,1,0,1,7,2060,190,12,229,6,0,0,0,1,439,Hisp,50598,22212522,57002,"$40,000 - $60,000",12,5268,13,0% - 20%
1048,1048,14,23,14023,17,31,560700,17031560700,5607,Census Tract 5607,0.000024,100.00%,33.33%,95,6,24,84,2,211,95,6,24,84,2,211,1653,28,1753,33,1,0,0,16,3484,551,9,584,11,0,0,0,5,1161,Hisp,61840,71796240,61840,"$60,000 - $80,000",14,16254,14,0% - 20%
1049,1049,14,24,14024,17,31,560800,17031560800,5608,Census Tract 5608,0.000029,100.00%,20.14%,127,11,52,131,0,321,127,11,52,131,0,321,3426,8,1898,37,6,0,2,34,5411,690,2,382,7,1,0,0,7,1090,White,67938,74052420,67938,"$60,000 - $80,000",21,22890,21,20% - 40%
1050,1050,14,25,14025,17,31,630500,17031630500,6305,Census Tract 6305,0.000004,3.31%,5.71%,31,1,5,96,0,133,1,0,0,3,0,4,296,144,5896,12,6,0,4,6,6364,17,8,337,1,0,0,0,0,364,Hisp,47484,17284176,49628,"$40,000 - $60,000",3,1092,8,0% - 20%
1051,1051,14,25,14025,17,31,630200,17031630200,6302,Census Tract 6302,0.000054,44.63%,78.26%,31,1,5,96,0,133,14,0,2,43,0,59,152,28,1715,28,0,0,1,7,1931,119,22,1342,22,0,0,1,5,1511,Hisp,55921,84496631,49628,"$40,000 - $60,000",9,13599,8,0% - 20%
1052,1052,14,25,14025,17,31,842800,17031842800,8428,Census Tract 8428,0.000063,52.07%,38.18%,31,1,5,96,0,133,16,1,3,50,0,69,581,56,6699,125,11,0,2,24,7498,222,21,2558,48,4,0,1,9,2863,Hisp,46579,133355677,49628,"$40,000 - $60,000",8,22904,8,0% - 20%
1053,1053,14,26,14026,17,31,630400,17031630400,6304,Census Tract 6304,0.000018,100.00%,25.00%,25,2,6,88,0,121,25,2,6,88,0,121,389,40,6635,7,2,0,6,4,7083,97,10,1659,2,0,0,2,1,1771,Hisp,48611,86090081,48611,"$40,000 - $60,000",6,10626,6,0% - 20%
1054,1054,14,27,14027,17,31,570400,17031570400,5704,Census Tract 5704,0.00001,5.18%,20.00%,81,4,7,93,3,188,4,0,0,5,0,10,318,36,1225,26,5,0,1,4,1615,64,7,245,5,1,0,0,1,323,Hisp,53862,17397426,54764,"$40,000 - $60,000",21,6783,14,0% - 20%
1055,1055,14,27,14027,17,31,830500,17031830500,8305,Census Tract 8305,0.000018,9.33%,4.06%,81,4,7,93,3,188,8,0,1,9,0,18,139,5,4506,2,5,0,0,3,4660,6,0,183,0,0,0,0,0,189,Hisp,54456,10292184,54764,"$40,000 - $60,000",7,1323,14,0% - 20%
1056,1056,14,27,14027,17,31,570100,17031570100,5701,Census Tract 5701,0.000165,85.49%,100.00%,81,4,7,93,3,188,69,3,6,80,3,161,294,15,916,23,0,0,1,8,1257,294,15,916,23,0,0,1,8,1257,Hisp,55042,69187794,54764,"$40,000 - $60,000",13,16341,14,0% - 20%
1057,1057,14,28,14028,17,31,570300,17031570300,5703,Census Tract 5703,0.000027,100.00%,25.47%,46,3,10,78,1,138,46,3,10,78,1,138,1182,36,4835,27,6,0,8,22,6116,301,9,1232,7,2,0,2,6,1558,Hisp,54152,84368816,54152,"$40,000 - $60,000",8,12464,8,0% - 20%
1058,1058,14,29,14029,17,31,630500,17031630500,6305,Census Tract 6305,0.000017,100.00%,24.29%,67,2,9,90,0,168,67,2,9,90,0,168,296,144,5896,12,6,0,4,6,6364,72,35,1432,3,1,0,1,1,1546,Hisp,47484,73410264,47484,"$40,000 - $60,000",3,4638,3,0% - 20%
1059,1059,14,30,14030,17,31,630400,17031630400,6304,Census Tract 6304,0.000018,100.00%,25.00%,30,2,3,44,0,79,30,2,3,44,0,79,389,40,6635,7,2,0,6,4,7083,97,10,1659,2,0,0,2,1,1771,Hisp,48611,86090081,48611,"$40,000 - $60,000",6,10626,6,0% - 20%
1060,1060,14,31,14031,17,31,580502,17031580502,5805.02,Census Tract 5805.02,0.000005,35.71%,9.26%,24,2,3,84,0,113,9,1,1,30,0,40,452,104,4566,208,5,0,7,7,5349,42,10,423,19,0,0,1,1,495,Hisp,56352,27894240,51930,"$40,000 - $60,000",18,8910,13,0% - 20%
1061,1061,14,31,14031,17,31,842800,17031842800,8428,Census Tract 8428,0.000009,64.29%,5.45%,24,2,3,84,0,113,15,1,2,54,0,73,581,56,6699,125,11,0,2,24,7498,32,3,365,7,1,0,0,1,409,Hisp,46579,19050811,51930,"$40,000 - $60,000",8,3272,13,0% - 20%
1062,1062,15,1,15001,17,31,610300,17031610300,6103,Census Tract 6103,0.000009,24.32%,3.47%,45,1,3,172,0,221,11,0,1,42,0,54,321,252,4960,92,4,0,7,22,5658,11,9,172,3,0,0,0,1,197,Hisp,35848,7062056,34627,"$20,000 - $40,000",5,985,3,0% - 20%
1063,1063,15,1,15001,17,31,610400,17031610400,6104,Census Tract 6104,0.000011,29.73%,64.71%,45,1,3,172,0,221,13,0,1,51,0,66,64,27,2109,4,2,1,5,1,2213,41,17,1365,3,1,1,3,1,1432,Hisp,29584,42364288,34627,"$20,000 - $40,000",1,1432,3,0% - 20%
1064,1064,15,1,15001,17,31,842600,17031842600,8426,Census Tract 8426,0.000017,45.95%,4.26%,45,1,3,172,0,221,21,0,1,79,0,102,2014,149,1524,405,2,0,1,38,4133,86,6,65,17,0,0,0,2,176,Mixed,74293,13075568,34627,"$20,000 - $40,000",19,3344,3,0% - 20%
1065,1065,15,2,15002,17,31,670600,17031670600,6706,Census Tract 6706,0.000019,100.00%,52.78%,46,48,5,22,10,131,46,48,5,22,10,131,0,1603,35,1,1,0,0,10,1650,0,846,18,1,1,0,0,5,871,AA,33398,29089658,33398,"$20,000 - $40,000",3,2613,3,0% - 20%
1066,1066,15,3,15003,17,31,835100,17031835100,8351,Census Tract 8351,0.000022,44.00%,20.18%,58,53,5,27,6,149,26,23,2,12,3,66,137,1096,4097,12,6,0,5,16,5369,28,221,827,2,1,0,1,3,1084,Hisp,49074,53196216,41965,"$40,000 - $60,000",7,7588,5,0% - 20%
1067,1067,15,3,15003,17,31,670500,17031670500,6705,Census Tract 6705,0.000028,56.00%,41.79%,58,53,5,27,6,149,32,30,3,15,3,83,5,1236,55,0,2,0,0,23,1321,2,517,23,0,1,0,0,10,552,AA,28004,15458208,41965,"$40,000 - $60,000",0,0,5,0% - 20%
1068,1068,15,4,15004,17,31,842800,17031842800,8428,Census Tract 8428,0.000003,13.04%,1.82%,47,1,8,144,1,201,6,0,1,19,0,26,581,56,6699,125,11,0,2,24,7498,11,1,122,2,0,0,0,0,136,Hisp,46579,6334744,45439,"$40,000 - $60,000",8,1088,6,0% - 20%
1069,1069,15,4,15004,17,31,580600,17031580600,5806,Census Tract 5806,0.000003,13.04%,5.66%,47,1,8,144,1,201,6,0,1,19,0,26,452,49,4778,228,6,0,3,15,5531,26,3,270,13,0,0,0,1,313,Hisp,46112,14433056,45439,"$40,000 - $60,000",9,2817,6,0% - 20%
1070,1070,15,4,15004,17,31,580700,17031580700,5807,Census Tract 5807,0.000006,26.09%,10.00%,47,1,8,144,1,201,12,0,2,38,0,52,438,110,5217,335,4,0,19,14,6137,44,11,522,34,0,0,2,1,614,Hisp,44204,27141256,45439,"$40,000 - $60,000",6,3684,6,0% - 20%
1071,1071,15,4,15004,17,31,580800,17031580800,5808,Census Tract 5808,0.000011,47.83%,55.00%,47,1,8,144,1,201,22,0,4,69,0,96,119,8,1923,9,2,0,0,0,2061,65,4,1058,5,1,0,0,0,1134,Hisp,45785,51920190,45439,"$40,000 - $60,000",4,4536,6,0% - 20%
1072,1072,15,5,15005,17,31,610400,17031610400,6104,Census Tract 6104,0.000002,9.09%,11.76%,38,7,1,139,0,185,3,1,0,13,0,17,64,27,2109,4,2,1,5,1,2213,8,3,248,0,0,0,1,0,260,Hisp,29584,7691840,33511,"$20,000 - $40,000",1,260,4,0% - 20%
1073,1073,15,5,15005,17,31,610300,17031610300,6103,Census Tract 6103,0.00002,90.91%,7.72%,38,7,1,139,0,185,35,6,1,126,0,168,321,252,4960,92,4,0,7,22,5658,25,19,383,7,0,0,1,2,437,Hisp,35848,15665576,33511,"$20,000 - $40,000",5,2185,4,0% - 20%
1074,1074,15,6,15006,17,31,842800,17031842800,8428,Census Tract 8428,0.000006,28.57%,3.64%,58,3,10,144,2,217,17,1,3,41,1,62,581,56,6699,125,11,0,2,24,7498,21,2,244,5,0,0,0,1,273,Hisp,46579,12716067,46181,"$40,000 - $60,000",8,2184,9,0% - 20%
1075,1075,15,6,15006,17,31,580600,17031580600,5806,Census Tract 5806,0.000015,71.43%,28.30%,58,3,10,144,2,217,41,2,7,103,1,155,452,49,4778,228,6,0,3,15,5531,128,14,1352,65,2,0,1,4,1565,Hisp,46112,72165280,46181,"$40,000 - $60,000",9,14085,9,0% - 20%
1076,1076,15,7,15007,17,31,671300,17031671300,6713,Census Tract 6713,0.000019,100.00%,35.85%,69,58,7,32,10,176,69,58,7,32,10,176,10,2607,39,0,3,0,3,26,2688,4,935,14,0,1,0,1,9,964,AA,41623,40124572,41623,"$40,000 - $60,000",5,4820,5,0% - 20%
1077,1077,15,8,15008,17,31,580800,17031580800,5808,Census Tract 5808,0.000009,33.33%,45.00%,58,1,4,133,1,197,19,0,1,44,0,66,119,8,1923,9,2,0,0,0,2061,54,4,865,4,1,0,0,0,927,Hisp,45785,42442695,46157,"$40,000 - $60,000",4,3708,6,0% - 20%
1078,1078,15,8,15008,17,31,842800,17031842800,8428,Census Tract 8428,0.000018,66.67%,10.91%,58,1,4,133,1,197,39,1,3,89,1,131,581,56,6699,125,11,0,2,24,7498,63,6,731,14,1,0,0,3,818,Hisp,46579,38101622,46157,"$40,000 - $60,000",8,6544,6,0% - 20%
1079,1079,15,9,15009,17,31,580600,17031580600,5806,Census Tract 5806,0.000008,25.81%,15.09%,54,3,9,193,3,262,14,1,2,50,1,68,452,49,4778,228,6,0,3,15,5531,68,7,721,34,1,0,0,2,835,Hisp,46112,38503520,44704,"$40,000 - $60,000",9,7515,7,0% - 20%
1080,1080,15,9,15009,17,31,580700,17031580700,5807,Census Tract 5807,0.000023,74.19%,38.33%,54,3,9,193,3,262,40,2,7,143,2,194,438,110,5217,335,4,0,19,14,6137,168,42,2000,128,2,0,7,5,2353,Hisp,44204,104012012,44704,"$40,000 - $60,000",6,14118,7,0% - 20%
1081,1081,15,10,15010,17,31,842800,17031842800,8428,Census Tract 8428,0.000002,5.56%,1.21%,54,8,19,153,0,234,3,0,1,8,0,13,581,56,6699,125,11,0,2,24,7498,7,1,81,2,0,0,0,0,91,Hisp,46579,4238689,52334,"$40,000 - $60,000",8,728,14,0% - 20%
1082,1082,15,10,15010,17,31,580501,17031580501,5805.01,Census Tract 5805.01,0.000009,25.00%,16.98%,54,8,19,153,0,234,14,2,5,38,0,58,519,50,4360,125,3,0,4,6,5067,88,8,740,21,1,0,1,1,860,Hisp,41374,35581640,52334,"$40,000 - $60,000",4,3440,14,0% - 20%
1083,1083,15,10,15010,17,31,580502,17031580502,5805.02,Census Tract 5805.02,0.000025,69.44%,46.30%,54,8,19,153,0,234,38,6,13,106,0,162,452,104,4566,208,5,0,7,7,5349,209,48,2114,96,2,0,3,3,2476,Hisp,56352,139527552,52334,"$40,000 - $60,000",18,44568,14,0% - 20%
1084,1084,15,11,15011,17,31,580502,17031580502,5805.02,Census Tract 5805.02,0.000024,100.00%,44.44%,50,4,11,158,0,223,50,4,11,158,0,223,452,104,4566,208,5,0,7,7,5349,201,46,2029,92,2,0,3,3,2377,Hisp,56352,133948704,56352,"$40,000 - $60,000",18,42786,18,0% - 20%
1085,1085,15,12,15012,17,31,842800,17031842800,8428,Census Tract 8428,0.000027,100.00%,16.36%,64,1,10,160,1,236,64,1,10,160,1,236,581,56,6699,125,11,0,2,24,7498,95,9,1096,20,2,0,0,4,1227,Hisp,46579,57152433,46579,"$40,000 - $60,000",8,9816,8,0% - 20%
1086,1086,15,13,15013,17,31,610400,17031610400,6104,Census Tract 6104,0.000004,14.29%,23.53%,40,3,0,133,0,176,6,0,0,19,0,25,64,27,2109,4,2,1,5,1,2213,15,6,496,1,0,0,1,0,521,Hisp,29584,15413264,31294,"$20,000 - $40,000",1,521,3,0% - 20%
1087,1087,15,13,15013,17,31,611300,17031611300,6113,Census Tract 6113,0.000004,14.29%,11.43%,40,3,0,133,0,176,6,0,0,19,0,25,148,445,2943,7,0,0,2,11,3556,17,51,336,1,0,0,0,1,406,Hisp,35815,14540890,31294,"$20,000 - $40,000",6,2436,3,0% - 20%
1088,1088,15,13,15013,17,31,611400,17031611400,6114,Census Tract 6114,0.000009,32.14%,25.00%,40,3,0,133,0,176,13,1,0,43,0,57,119,282,3670,7,0,0,6,21,4105,30,70,918,2,0,0,2,5,1026,Hisp,29308,30070008,31294,"$20,000 - $40,000",3,3078,3,0% - 20%
1089,1089,15,13,15013,17,31,610300,17031610300,6103,Census Tract 6103,0.000011,39.29%,4.25%,40,3,0,133,0,176,16,1,0,52,0,69,321,252,4960,92,4,0,7,22,5658,14,11,211,4,0,0,0,1,240,Hisp,35848,8603520,31294,"$20,000 - $40,000",5,1200,3,0% - 20%
1090,1090,15,14,15014,17,31,611500,17031611500,6115,Census Tract 6115,0.000002,9.52%,3.85%,36,0,3,105,0,144,3,0,0,10,0,14,154,382,3002,14,0,3,3,9,3567,6,15,115,1,0,0,0,0,137,Hisp,39177,5367249,31081,"$20,000 - $40,000",4,548,4,0% - 20%
1091,1091,15,14,15014,17,31,611300,17031611300,6113,Census Tract 6113,0.000004,19.05%,11.43%,36,0,3,105,0,144,7,0,1,20,0,27,148,445,2943,7,0,0,2,11,3556,17,51,336,1,0,0,0,1,406,Hisp,35815,14540890,31081,"$20,000 - $40,000",6,2436,4,0% - 20%
1092,1092,15,14,15014,17,31,611400,17031611400,6114,Census Tract 6114,0.000015,71.43%,41.67%,36,0,3,105,0,144,26,0,2,75,0,103,119,282,3670,7,0,0,6,21,4105,50,118,1529,3,0,0,2,9,1710,Hisp,29308,50116680,31081,"$20,000 - $40,000",3,5130,4,0% - 20%
1093,1093,15,15,15015,17,31,610300,17031610300,6103,Census Tract 6103,0.000001,2.94%,0.39%,41,4,2,101,0,148,1,0,0,3,0,4,321,252,4960,92,4,0,7,22,5658,1,1,19,0,0,0,0,0,22,Hisp,35848,788656,36509,"$20,000 - $40,000",5,110,4,0% - 20%
1094,1094,15,15,15015,17,31,611400,17031611400,6114,Census Tract 6114,0.000006,17.65%,16.67%,41,4,2,101,0,148,7,1,0,18,0,26,119,282,3670,7,0,0,6,21,4105,20,47,612,1,0,0,1,4,684,Hisp,29308,20046672,36509,"$20,000 - $40,000",3,2052,4,0% - 20%
1095,1095,15,15,15015,17,31,611500,17031611500,6115,Census Tract 6115,0.000027,79.41%,51.92%,41,4,2,101,0,148,33,3,2,80,0,118,154,382,3002,14,0,3,3,9,3567,80,198,1559,7,0,2,2,5,1852,Hisp,39177,72555804,36509,"$20,000 - $40,000",4,7408,4,0% - 20%
1096,1096,15,16,15016,17,31,835100,17031835100,8351,Census Tract 8351,0.000036,100.00%,33.03%,56,12,2,125,1,196,56,12,2,125,1,196,137,1096,4097,12,6,0,5,16,5369,45,362,1353,4,2,0,2,5,1773,Hisp,49074,87008202,49074,"$40,000 - $60,000",7,12411,7,0% - 20%
1097,1097,15,17,15017,17,31,670400,17031670400,6704,Census Tract 6704,0.000008,38.10%,22.22%,71,52,4,58,7,192,27,20,2,22,3,73,6,1809,130,2,0,0,0,9,1956,1,402,29,0,0,0,0,2,435,AA,42900,18661500,33764,"$20,000 - $40,000",5,2175,4,0% - 20%
1098,1098,15,17,15017,17,31,670300,17031670300,6703,Census Tract 6703,0.000013,61.90%,37.14%,71,52,4,58,7,192,44,32,2,36,4,119,14,1317,51,5,1,0,6,17,1411,5,489,19,2,0,0,2,6,524,AA,26179,13717796,33764,"$20,000 - $40,000",4,2096,4,0% - 20%
1099,1099,15,18,15018,17,31,671300,17031671300,6713,Census Tract 6713,0.000002,8.70%,3.77%,69,45,6,28,8,156,6,4,1,2,1,14,10,2607,39,0,3,0,3,26,2688,0,98,1,0,0,0,0,1,101,AA,41623,4203923,38760,"$20,000 - $40,000",5,505,10,0% - 20%
1100,1100,15,18,15018,17,31,670700,17031670700,6707,Census Tract 6707,0.000009,39.13%,25.71%,69,45,6,28,8,156,27,18,2,11,3,61,7,1422,42,0,6,0,0,14,1491,2,366,11,0,2,0,0,4,383,AA,38485,14739755,38760,"$20,000 - $40,000",3,1149,10,0% - 20%
1101,1101,15,18,15018,17,31,671200,17031671200,6712,Census Tract 6712,0.000012,52.17%,46.15%,69,45,6,28,8,156,36,23,3,15,4,81,6,1225,10,0,1,0,0,10,1252,3,565,5,0,0,0,0,5,578,AA,38442,22219476,38760,"$20,000 - $40,000",16,9248,10,0% - 20%
1102,1102,15,19,15019,17,31,630500,17031630500,6305,Census Tract 6305,0.000005,8.47%,7.14%,49,16,3,107,4,179,4,1,0,9,0,15,296,144,5896,12,6,0,4,6,6364,21,10,421,1,0,0,0,0,455,Hisp,47484,21605220,42492,"$40,000 - $60,000",3,1365,5,0% - 20%
1103,1103,15,19,15019,17,31,611500,17031611500,6115,Census Tract 6115,0.000023,38.98%,44.23%,49,16,3,107,4,179,19,6,1,42,2,70,154,382,3002,14,0,3,3,9,3567,68,169,1328,6,0,1,1,4,1578,Hisp,39177,61821306,42492,"$40,000 - $60,000",4,6312,5,0% - 20%
1104,1104,15,19,15019,17,31,630100,17031630100,6301,Census Tract 6301,0.000031,52.54%,56.36%,49,16,3,107,4,179,26,8,2,56,2,94,48,247,852,2,1,0,5,1,1156,27,139,480,1,1,0,3,1,652,Hisp,47030,30663560,42492,"$40,000 - $60,000",8,5216,5,0% - 20%
1105,1105,15,20,15020,17,31,670600,17031670600,6706,Census Tract 6706,0.000001,4.55%,2.78%,62,55,3,32,8,160,3,2,0,1,0,7,0,1603,35,1,1,0,0,10,1650,0,45,1,0,0,0,0,0,46,AA,33398,1536308,38236,"$20,000 - $40,000",3,138,3,0% - 20%
1106,1106,15,20,15020,17,31,670700,17031670700,6707,Census Tract 6707,0.000021,95.45%,60.00%,62,55,3,32,8,160,59,52,3,31,8,153,7,1422,42,0,6,0,0,14,1491,4,853,25,0,4,0,0,8,895,AA,38485,34444075,38236,"$20,000 - $40,000",3,2685,3,0% - 20%
1107,1107,15,21,15021,17,31,670500,17031670500,6705,Census Tract 6705,0.000005,27.78%,7.46%,72,38,2,33,10,155,20,11,1,9,3,43,5,1236,55,0,2,0,0,23,1321,0,92,4,0,0,0,0,2,99,AA,28004,2772396,41068,"$40,000 - $60,000",0,0,4,0% - 20%
1108,1108,15,21,15021,17,31,670400,17031670400,6704,Census Tract 6704,0.000013,72.22%,36.11%,72,38,2,33,10,155,52,27,1,24,7,112,6,1809,130,2,0,0,0,9,1956,2,653,47,1,0,0,0,3,706,AA,42900,30287400,41068,"$40,000 - $60,000",5,3530,4,0% - 20%
